idMovie,idGenre
1,1
2,1
4,1
7,1
9,1
10,1
11,1
2,2
11,2
21,2
25,2
2,3
5,4
13,4
1,5
11,5
13,5
21,5
22,5
24,5
25,5
1,6
14,6
15,6
3,7
13,7
3,8
12,8
24,8
3,9
4,9
4,10
4,11
5,11
7,11
8,11
9,11
10,11
12,11
14,11
21,11
22,11
24,11
5,12
